"cab_id";"cab_hog_n";"ctr_id";"cab_sdate";"lhelc_date";"date_dif";"cab_valid_sdate";"cab_cmt";"cab_src"
1001;"	Chifley	 ";1;"1946-11-01";"1946-09-28";34;f;"	.	 ";"	.	 "
1003;"	Menzies	 ";1;"1951-05-11";"1951-04-28";13;f;"	.	 ";"	.	 "
1004;"	Menzies	 ";1;"1954-07-09";"1954-05-29";41;f;"	.	 ";"	.	 "
1005;"	Menzies	 ";1;"1956-01-11";"1955-12-10";32;f;"	.	 ";"	.	 "
1006;"	Menzies	 ";1;"1958-12-10";"1958-11-22";18;f;"	.	 ";"	.	 "
1007;"	Menzies	 ";1;"1961-12-22";"1961-12-09";13;f;"	.	 ";"	.	 "
1008;"	Menzies	 ";1;"1963-12-18";"1963-11-30";18;f;"	.	 ";"	.	 "
1010;"	Holt	 ";1;"1966-12-14";"1966-11-26";18;f;"	.	 ";"	.	 "
1013;"	Gorton	 ";1;"1969-11-12";"1969-10-25";18;f;"	.	 ";"	.	 "
1016;"	Whitlam	 ";1;"1974-06-12";"1974-05-18";25;f;"	.	 ";"	.	 "
1018;"	Fraser	 ";1;"1975-12-22";"1975-12-13";9;f;"	.	 ";"	.	 "
1019;"	Fraser	 ";1;"1977-12-20";"1977-12-10";10;f;"	.	 ";"	.	 "
1020;"	Fraser	 ";1;"1980-11-03";"1980-10-18";16;f;"	.	 ";"	.	 "
1022;"	Hawke	 ";1;"1984-12-13";"1984-12-01";12;f;"	.	 ";"	.	 "
1023;"	Hawke	 ";1;"1987-07-24";"1987-07-11";13;f;"	.	 ";"	.	 "
1024;"	Hawke	 ";1;"1990-04-04";"1990-03-24";11;f;"	.	 ";"	.	 "
1026;"	Keating	 ";1;"1993-03-24";"1993-03-13";11;f;"	.	 ";"	.	 "
1028;"	Howard	 ";1;"1998-10-21";"1998-10-03";18;f;"	.	 ";"	.	 "
1029;"	Howard	 ";1;"2001-11-26";"2001-11-10";16;f;"	.	 ";"	.	 "
