"prselc_id";"ctr_id";"prs_n";"prselc_date";"prs_sdate";"date_dif";"prs_valid_sdate";"prs_src"
9006;9;"Urho Kekkonen";"1978-02-15";"1978-03-01";14;f;""
9007;9;"Mauno Koivisto";"1978-02-15";"1981-09-11";1304;f;""
9008;9;"Mauno Koivisto";"1982-02-26";"1982-03-01";3;f;""
9009;9;"Mauno Koivisto";"1988-02-15";"1988-03-01";15;f;""
9010;9;"Martti Ahtisaari";"1994-02-06";"1994-03-01";23;f;""
9011;9;"Tarja Halonen";"2000-02-06";"2000-03-01";24;f;""
9012;9;"Tarja Halonen";"2006-01-29";"2006-02-01";3;f;""
9013;9;"Sauli Niinisto";"2012-02-05";"2012-03-01";25;f;""
17001;17;"Antonio dos Santos Ramalho Eanes";"1976-06-27";"1976-07-14";17;f;""
17002;17;"Antonio dos Santos Ramalho Eanes";"1980-12-07";"1981-03-09";92;f;""
17003;17;"Mario Alberto Nobre Lopes Soares";"1986-02-16";"1986-03-09";21;f;""
17004;17;"Mario Alberto Nobre Lopes Soares";"1991-01-13";"1991-03-09";55;f;""
17005;17;"Jorge Fernando Branco de Sampaio";"1996-01-14";"1996-03-09";55;f;""
17006;17;"Jorge Fernando Branco de Sampaio";"2001-01-14";"2001-03-09";54;f;""
17007;17;"Anibal Antonio Cavaco Silva";"2006-01-22";"2006-03-09";46;f;""
17008;17;"Anibal Antonio Cavaco Silva";"2011-01-23";"2011-03-09";45;f;""
19010;19;"Richard M. Nixon";"1972-11-07";"1973-01-20";74;f;""
19011;19;"Gerald F. Ford";"1972-11-07";"1974-08-09";640;f;""
19012;19;"James E. Carter";"1976-11-02";"1977-01-20";79;f;""
19013;19;"Ronald W. Reagan";"1980-11-04";"1981-01-20";77;f;""
19014;19;"Ronald W. Reagan";"1984-11-06";"1985-01-21";76;f;""
19015;19;"George H. W. Bush";"1988-11-08";"1989-01-20";73;f;""
19016;19;"William J. Clinton";"1992-11-03";"1993-01-20";78;f;""
19017;19;"William J. Clinton";"1996-11-05";"1997-01-20";76;f;""
19018;19;"George W. Bush";"2000-11-07";"2001-01-20";74;f;""
19019;19;"George W. Bush";"2004-11-02";"2005-01-20";79;f;""
19020;19;"Barack Obama";"2008-11-04";"2009-01-20";77;f;""
19021;19;"Barack Obama";"2012-11-06";"2013-01-20";75;f;""
20001;20;"Benjamin Netanyahu";"1996-05-29";"1996-06-18";20;f;""
20002;20;"Ehud Barak";"1999-05-17";"1999-07-06";50;f;""
20003;20;"Ariel Sharon";"2001-02-06";"2001-03-07";29;f;""
25001;25;"Lech Walesa";"1990-12-09";"1990-12-22";13;f;""
